[2025-02-03 00:00:02,607: INFO: main: welcomoe to cc]
[2025-02-03 18:18:16,221: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:18:16,243: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:19:28,936: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:19:28,943: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:19:28,947: INFO: common: created directory at: artifacts]
[2025-02-03 18:20:10,812: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:20:10,816: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:20:10,819: INFO: common: created directory at: artifacts]
[2025-02-03 18:21:02,030: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:21:02,034: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:21:02,037: INFO: common: created directory at: artifacts]
[2025-02-03 18:21:02,040: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:21:16,195: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:21:16,198: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:21:16,201: INFO: common: created directory at: artifacts]
[2025-02-03 18:21:16,203: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:21:45,817: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:21:45,821: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:21:45,824: INFO: common: created directory at: artifacts]
[2025-02-03 18:21:45,827: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:22:49,536: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:22:49,543: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:22:49,546: INFO: common: created directory at: artifacts]
[2025-02-03 18:22:49,549: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:22:49,552: INFO: 1712324736: Downloading data from https://drive.google.com/file/d/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:28:52,686: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:28:52,690: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:28:52,693: INFO: common: created directory at: artifacts]
[2025-02-03 18:28:52,696: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:28:52,698: INFO: 1712324736: Downloading data from https://drive.google.com/file/d/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:29:53,555: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:29:53,559: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:29:53,562: INFO: common: created directory at: artifacts]
[2025-02-03 18:29:53,565: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:29:53,568: INFO: 1712324736: Downloading data from https://drive.google.com/file/d/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:36:14,567: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:36:14,571: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:36:14,575: INFO: common: created directory at: artifacts]
[2025-02-03 18:36:14,577: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:36:14,580: INFO: 1712324736: Downloading data from https://drive.google.com/file/d/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:36:49,829: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:36:49,833: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:36:49,836: INFO: common: created directory at: artifacts]
[2025-02-03 18:36:49,840: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:36:49,844: INFO: 1712324736: Downloading data from https://drive.google.com/file/d/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:40:25,579: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:40:25,585: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:40:25,589: INFO: common: created directory at: artifacts]
[2025-02-03 18:40:25,592: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:40:25,595: INFO: 683714379: Downloading data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:41:20,710: INFO: 683714379: Downloaded data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:43:19,638: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:43:19,644: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:43:19,648: INFO: common: created directory at: artifacts]
[2025-02-03 18:43:19,650: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:43:19,653: INFO: 683714379: Downloading data from https://drive.google.com/file/d/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:45:51,595: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:45:51,600: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:45:51,603: INFO: common: created directory at: artifacts]
[2025-02-03 18:45:51,606: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:45:51,609: INFO: 683714379: Downloading data from https://drive.google.com/file/d/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:47:45,994: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:47:45,999: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:47:46,002: INFO: common: created directory at: artifacts]
[2025-02-03 18:47:46,005: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:47:46,008: INFO: 8438544: Downloading data from https://drive.google.com/file/d/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:54:12,765: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:54:12,787: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:54:12,796: INFO: common: created directory at: artifacts]
[2025-02-03 18:54:12,799: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:54:12,801: INFO: 683714379: Downloading data from https://drive.google.com/drive/folders/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:54:48,668: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:54:48,670: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:54:48,672: INFO: common: created directory at: artifacts]
[2025-02-03 18:54:48,674: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:54:48,675: INFO: 683714379: Downloading data from https://drive.google.com/drive/folders/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY?usp=sharing into file artifacts/data_ingestion/data.zip]
